text,label
"Le prix est de 20 euros.","montant"
"J'ai dépensé 15.50 EUR pour le déjeuner.","montant"
"Le coût total est de 99,99 €.","montant"
"Ce produit coûte 30 EUR.","montant"
"J'ai payé 100,50 euros pour ce repas.","montant"
"Le montant de la facture est de 1 250,75 €.","montant"
"Le coût du transport s'élève à 12 EUR.","montant"
"Nous avons dépensé 200 euros en vacances.","montant"
"Le tarif pour cet article est de 35,75 €.","montant"
"Le prix du billet de train est de 75 euros.","montant"
"J'ai acheté des vêtements pour 90,99 € hier.","montant"
"Le salaire mensuel est de 2 500,00 EUR.","montant"
"Le montant à payer est de 199,50 €.","montant"
"Le prix d'un abonnement est de 49,99 EUR.","montant"
"Le tarif de l'assurance est de 350 euros par an.","montant"
"J'ai reçu un remboursement de 80,00 €.","montant"
"Le café coûte 3,50 € dans ce café.","montant"
"Le montant total de la facture est de 475,25 €.","montant"
"Le coût d'un ticket de cinéma est de 15,50 EUR.","montant"
"J'ai payé 300 euros pour la réparation.","montant"
"Le loyer est de 1 200,00 EUR par mois.","montant"
"Le repas pour deux nous a coûté 60,99 €.","montant"
"Le coût des courses était de 150 euros.","montant"
"Le budget alloué pour ce projet est de 25 000 EUR.","montant"
"Le prix du café est de 2.99 € aujourd'hui.","montant"
"J'ai payé 19,99 EUR pour l'abonnement mensuel.","montant"
"Le prix d'une bouteille d'eau est de 1,50 €.","montant"
"Le montant total de la commande s'élève à 89,50 EUR.","montant"
"J'ai payé 45 euros pour le service de nettoyage.","montant"
"Il a gagné 1 000 EUR ce mois-ci.","montant"
"Le pack de données coûte 20,00 €.","montant"
"J'ai dépensé 2 000 euros en mobilier.","montant"
"Le prix de ce tableau est de 300,50 EUR.","montant"
"Le montant du prêt est de 150 000 €.","montant"
"Le total des achats est de 85,75 euros.","montant"
"Le coût de l'examen médical est de 99,00 €.","montant"
"J'ai payé 10,50 EUR pour le déjeuner.","montant"
"Les frais de port sont de 5,99 €.","montant"
"Le tarif horaire est de 15 EUR.","montant"
"J'ai payé 150 euros pour une consultation.","montant"
"Le montant de l'addition est de 75,45 €.","montant"
"Le billet d'avion coûte 350,00 EUR.","montant"
"Le total de la facture est de 200,50 €.","montant"
"Le prix d'entrée au musée est de 12 EUR.","montant"
"Le forfait internet coûte 49,99 € par mois.","montant"
"Le prix d'une place de théâtre est de 25,00 EUR.","montant"
"Le prix de ce sac est de 250,75 €.","montant"
"J'ai payé 60 euros pour les cours de yoga.","montant"
"Les frais d'inscription sont de 75,00 EUR.","montant"
"Le tarif mensuel est de 35,99 €.","montant"
